id_producto,categoria,descripcion,marca,cantidad_base,unidad_base,n_observaciones,origen,revisado
7790070012050,almacen.aceite_girasol_900ml,ACEITE DE GIRASOL,COCIN,0.9,l,2368,auto,no
7792180001641,almacen.aceite_girasol_900ml,ACEITE DE GIRASOL,CAÑUE,0.9,l,2191,auto,no
7790272001029,almacen.aceite_girasol_900ml,ACEITE DE GIRASOL,NATUR,1.5,l,2182,auto,no
7790272001005,almacen.aceite_girasol_900ml,ACEITE DE GIRASOL,NATUR,0.9,l,2094,auto,no
7798316700808,almacen.aceite_girasol_900ml,ACEITE DE GIRASOL,LEGIT,0.9,l,2010,auto,no
7792180137944,almacen.aceite_girasol_900ml,ACEITE DE GIRASOL,PUREZ,1.5,l,1534,auto,no
8480017181770,almacen.aceite_girasol_900ml,ACEITE DE GIRASOL,DIA,0.9,l,967,auto,no
7792180137937,almacen.aceite_girasol_900ml,ACEITE DE GIRASOL PUREZA PET 900 CC,PUREZA,1,un,503,auto,no
7799044003780,almacen.aceite_girasol_900ml,"ACEITE DE GIRASOL, LA ANONIMA, 900 CM3",LA ANONIMA,0.9,l,182,auto,no
7793377000317,almacen.aceite_girasol_900ml,ACEITE GIRASOL LAGRI.DSOL,LAGRIMAS DEL SOL,0.9,l,164,auto,no
7791102068199,almacen.aceite_girasol_900ml,ACEITE GIRASOL COOPERATIV,COOPERATIVA,0.9,l,154,auto,no
7794870055835,almacen.aceite_girasol_900ml,ACEITE GIRASOL P.PCIO,PRIMER PRECIO,0.9,l,154,auto,no
7790070230454,almacen.aceite_girasol_900ml,ACEITE IDEAL GIRASOL X 900 ML,IDEAL,0.9,l,24,auto,no
7790070100146,almacen.aceite_girasol_900ml,"ACEITE GIRASOL ORGANICO, LIRA, 900 CM3",LIRA,0.9,l,17,auto,no
7790070231468,almacen.aceite_girasol_900ml,ACEITE GIRASOL LIRA,LIRA,0.9,l,16,auto,no
7791615001751,almacen.aceite_girasol_900ml,ACEITE DE GIRASOL PRIMER PRECIO 900,BUNGE,0.9,l,4,auto,no
8480017524485,almacen.aceite_mezcla_900ml,ACEITE MEZCLA,OPI,0.9,l,968,auto,no
7790060234868,almacen.aceite_mezcla_900ml,"ACEITE MEZCLA, COCINERO, 900 CM3",COCINERO,0.9,l,653,auto,no
7794870000330,almacen.aceite_mezcla_900ml,ACEITE MEZCLA SIGLO D ORO,SIGLO DE ORO,0.9,l,154,auto,no
7790070231574,almacen.aceite_mezcla_900ml,ACEITE MEZCLA ESPECIAL LIRA PET 900 ML,LIRA,0.9,l,102,auto,no
7791120031557,almacen.arroz_largo_fino_1kg,ARROZ LARGO FINO,MOLIN,1,kg,2396,auto,no
7790070431486,almacen.arroz_largo_fino_1kg,ARROZ LARG FINO BOLS,LUCCH,0.001,kg,2350,auto,no
7798078450126,almacen.arroz_largo_fino_1kg,ARROZ LARGO FINO,VANGU,1,kg,1449,auto,no
7792180139535,almacen.arroz_largo_fino_1kg,ARROZ LARGO FINO,CAÑUE,1,kg,1277,auto,no
7790070412126,almacen.arroz_largo_fino_1kg,ARROZ LARGO FINO,MAXIM,1,kg,1266,auto,no
7791120100819,almacen.arroz_largo_fino_1kg,ARROZ LARGO FINO ITÁ CAABÓ MOLINOS ALA PAQ 1 KGM,MOLINOS ALA,1,kg,1198,auto,no
7790070431448,almacen.arroz_largo_fino_1kg,ARROZ GALLO LARGO FINO BOLSA 1KG PAQ-1000-GR.,GALLO,0.001,kg,863,auto,no
7790503199082,almacen.arroz_largo_fino_1kg,"ARROZ LARGO FINO 00000, DOS HERMANOS, 1000 GR",DOS HERMANOS,1,kg,745,auto,no
7791120031656,almacen.arroz_largo_fino_1kg,ARROZ LARGO FINO 00000,APOSTOLES,1,kg,282,auto,no
7790847060567,almacen.arroz_largo_fino_1kg,"ARROZ LARGO FINO, DON MARCOS, 1000 GR",DON MARCOS,1,kg,202,auto,no
7799044041959,almacen.arroz_largo_fino_1kg,"ARROZ LARGO FINO 00000, LA ANONIMA, 1000 GR",LA ANONIMA,1,kg,180,auto,no
7792710001523,almacen.arroz_largo_fino_1kg,ARROZ AMANDA LARGO FINO 5/0 1KG.,ARROZ AMANDA LARGO F,1,un,158,auto,no
7799044041942,almacen.arroz_largo_fino_1kg,"ARROZ LARGO FINO 00000, BEST, 1000 GR",BEST,1,kg,111,auto,no
7798123134773,almacen.arroz_largo_fino_1kg,CHECK ARROZ LARGO FINO 1KG,CHECK,1,kg,93,auto,no
7790387070019,almacen.arroz_largo_fino_1kg,ARROZ LARGO FINO 00000 MARIA X 1 KG,MARIA,1,un,84,auto,no
7790070433138,almacen.arroz_largo_fino_1kg,ARROZ GALLO LARGO FINO BOLSA X 1 KG,GALLO,1,kg,24,auto,no
7790022000098,almacen.arroz_largo_fino_1kg,ARROZ MANDISOVI LARGO FINO 00000 1 KG,MOLINO ARROCERO RIO PARANA,1,kg,11,auto,no
7790070408310,almacen.arroz_largo_fino_1kg,ARROZ LUCCHETTI LARGO FINO 1 KG.,MOLINOS RIO DL.PLATA,1,kg,4,auto,no
7791880000145,almacen.arroz_largo_fino_1kg,ARROZ GALLO LARGO FINO 1 KG.,MOLINOS RIO DL.PLATA,1,kg,4,auto,no
7792540250450,almacen.azucar_comun_1kg,AZUCAR SUPERIOR,LEDES,1,kg,2086,auto,no
7799086000389,almacen.azucar_comun_1kg,AZUCAR COMUN TIPO A,DOMIN,1,kg,1265,auto,no
7798174970016,almacen.azucar_comun_1kg,AZUCAR COMUN TIPO A AZUCEL BOLSA X 1 KG,AZUCEL,1,un,1175,auto,no
8480017298515,almacen.azucar_comun_1kg,AZUCAR COMUN TIPO A,DIA,1,kg,967,auto,no
7791100000481,almacen.azucar_comun_1kg,AZUCAR CHANGO BSA 1KG BSA-1000-GR.,CHANGO,0.001,kg,260,auto,no
7792540260138,almacen.azucar_comun_1kg,AZUCAR LEDESMA CLASICA,LEDESMA,1,kg,236,auto,no
0714604463832,almacen.azucar_comun_1kg,AZUCAR PRIMER PRECIO,PRIMER PRECIO,1,kg,154,auto,no
7891910030682,almacen.azucar_comun_1kg,AZÚCAR CRISTAL CLASICA UNIAO PAQ 1 KGM,UNIAO,1,kg,120,auto,no
0659525879112,almacen.azucar_comun_1kg,AZUCAR LA CAMPECHANA PAQ 1 KGM,LA CAMPECHANA,1,kg,103,auto,no
7798141971381,almacen.azucar_comun_1kg,AZUCAR LA PROVIDENCIA,LA PROVIDENCIA,1,kg,95,auto,no
7799120000405,almacen.azucar_comun_1kg,CHECK AZUCAR COMUN TIPO A 1KG,CHECK,1,kg,93,auto,no
7796699000010,almacen.azucar_comun_1kg,AZUCAR COMUN,CALIDAD,1,kg,27,auto,no
7790220000531,almacen.azucar_comun_1kg,AZUCAR FRONTERITA 1KG,JOSE MINETTI Y CIA. S.A.C.I.,1,kg,11,auto,no
7790220000760,almacen.azucar_comun_1kg,AZUCAR FRONTERITA 1KG,JOSE MINETTI Y CIA. S.A.C.I.,1,kg,11,auto,no
7790495005644,almacen.azucar_comun_1kg,AZUCAR YIN YANG ORG,YIN YANG,1,kg,4,auto,no
7795631000019,almacen.azucar_comun_1kg,AZUCAR MYRIAM 1 KG.,AZUCAR VARIOS,1,kg,4,auto,no
7798141971565,almacen.azucar_comun_1kg,AZUCAR PRIMER PRECIO 1KG.,AZUCAR VARIOS,1,kg,4,auto,no
7790070320285,almacen.fideos_secos_500g,FIDEO SPAGHETTI,FAVOR,0.5,kg,2501,auto,no
7790070336149,almacen.fideos_secos_500g,FIDEOS MOSTACHOL,LUCCH,0.5,kg,2495,auto,no
7790070336118,almacen.fideos_secos_500g,FIDEOS TALLARIN N5,LUCCH,0.5,kg,2486,auto,no
7790070336293,almacen.fideos_secos_500g,FIDEOS TIRABUZON,MATAR,0.5,kg,2486,auto,no
7790070336385,almacen.fideos_secos_500g,FIDEOS SPAGHETTI,LUCCH,0.5,kg,2483,auto,no
7790070336316,almacen.fideos_secos_500g,FIDEOS TALLARIN,500GR,0.5,kg,2482,auto,no
7790070336545,almacen.fideos_secos_500g,FIDEOS FETUCCINI,DONVI,0.5,kg,2466,auto,no
7790070336576,almacen.fideos_secos_500g,FIDEOS TALLARIN,DONVI,0.5,kg,2414,auto,no
7790070320308,almacen.fideos_secos_500g,FIDEO TIRABUZON,FAVOR,0.5,kg,2405,auto,no
7790070336026,almacen.fideos_secos_500g,FIDEO TIRABUZON,LUCCH,0.5,kg,2401,auto,no
7790070320001,almacen.fideos_secos_500g,FIDEOS CABELLO DE ANGEL MATARAZZO BOLSA X 500 GRS,MATARAZZO,1,un,2391,auto,no
7790070336309,almacen.fideos_secos_500g,FIDEOS SPAGHETTI,MATAR,0.5,kg,2369,auto,no
7790070336217,almacen.fideos_secos_500g,FIDEOS MOSTACHOL,MATAR,0.5,kg,2366,auto,no
7790070336361,almacen.fideos_secos_500g,FIDEOS PENNE RIGATE,LUCCH,0.5,kg,2361,auto,no
7790070336552,almacen.fideos_secos_500g,FIDEOS CASERITO,DONVI,0.5,kg,2289,auto,no
7790070336057,almacen.fideos_secos_500g,FIDEOS TIRABUZON VEG,LUCHE,0.5,kg,2244,auto,no
7790070318398,almacen.fideos_secos_500g,FIDEOS DEDALITOS,LUCCH,0.5,kg,2226,auto,no
7790070336651,almacen.fideos_secos_500g,FIDEOS SPAGHETTI RINA MATARAZZO X 500 GRS,RINA,1,un,2212,auto,no
7790070318381,almacen.fideos_secos_500g,FIDEOS LETRITAS,LUCCH,0.5,kg,2131,auto,no
7790070335944,almacen.fideos_secos_500g,FIDEO PENNE RIGA N45,MATAR,0.5,kg,2040,auto,no
7790070320292,almacen.fideos_secos_500g,FIDEO TALLARIN,FAVOR,0.5,kg,1928,auto,no
7790230033031,almacen.fideos_secos_500g,FIDEOS MOÑO MEDIANO,MATAR,0.5,kg,1877,auto,no
7790070320315,almacen.fideos_secos_500g,FIDEO MOSTACHOL,FAVOR,0.5,kg,1624,auto,no
7790070336644,almacen.fideos_secos_500g,FIDEOS FUSILLI,RINA,0.5,kg,1594,auto,no
7790070318343,almacen.fideos_secos_500g,FIDEOS CODITOS LUCCHETTI BOLSA X 500 GRS,LUCCHETTI,1,un,1529,auto,no
7790070336590,almacen.fideos_secos_500g,FIDEOS TIRABUZON,DONVI,0.5,kg,1507,auto,no
7790070335937,almacen.fideos_secos_500g,FIDEOS TIRABUZON 3 VEGETALES MATARAZZO X 500 GRS,MATARAZZO,1,un,1446,auto,no
7790070336200,almacen.fideos_secos_500g,FIDEOS PENNE RIGATE MATARAZZO X 500 GRS,MATARAZZO,1,un,1444,auto,no
7790070335982,almacen.fideos_secos_500g,FIDEOS S TACC TIRABUZON MATARAZZO X 500 GRS,MATARAZZO,1,un,1413,auto,no
7790070318350,almacen.fideos_secos_500g,FIDEOS MONOS LUCCHETTI BOLSA X 500 GRS,LUCCHETTI,1,un,1396,auto,no
7790070318374,almacen.fideos_secos_500g,FIDEOS AVE MARIA LUCCHETTI BOLSA X 500 GRS,LUCCHETTI,1,un,1336,auto,no
7790070321664,almacen.fideos_secos_500g,FIDEOS CINTA FETUCCINI ESPIN DON VICENTE X 500 GRS,DON VICENTE,1,un,1317,auto,no
7790070320025,almacen.fideos_secos_500g,FIDEOS DEDALITOS MATARAZZO BOLSA X 500 GRS,MATARAZZO,1,un,1315,auto,no
7790070336002,almacen.fideos_secos_500g,FIDEOS S TACC SPAGHETTI MATARAZZO X 500 GRS,MATARAZZO,1,un,1267,auto,no
7790070335999,almacen.fideos_secos_500g,FIDEOS S TACC PENNE RIGATE MATARAZZO X 500 GRS,MATARAZZO,1,un,1239,auto,no
7790070336583,almacen.fideos_secos_500g,FIDEOS GUISEROS MONOS DON VICENTE BOLSA X 500 GRS,DON VICENTE,1,un,1159,auto,no
7790070336477,almacen.fideos_secos_500g,FIDEOS TALLARINES N7 TERRABUSI X 500 GRS,TERRABUSI,1,un,1126,auto,no
7790070318619,almacen.fideos_secos_500g,FIDEOS CODITOS RAYADOS MATARAZZO BOLS X 500 GRS,MATARAZZO,1,un,1114,auto,no
7797470199244,almacen.fideos_secos_500g,FIDEOS MOSTACHOL,MAROL,0.5,kg,1064,auto,no
7797470199237,almacen.fideos_secos_500g,FIDEOS TIRABUZON,MAROL,0.5,kg,1061,auto,no
7797470199367,almacen.fideos_secos_500g,FIDEOS SPAGHETTI,MAROL,0.5,kg,970,auto,no
8480017268693,almacen.fideos_secos_500g,FIDEOS SPAGHETTI TRI,DIA,0.5,kg,968,auto,no
8480017269560,almacen.fideos_secos_500g,FIDEO TIRABU 100 TRI,DIA,0.5,kg,968,auto,no
8480017269584,almacen.fideos_secos_500g,FIDEOS CODITO TRIGO,DIA,0.5,kg,968,auto,no
8480017269621,almacen.fideos_secos_500g,FIDEOS MOÑOS,DIA,0.5,kg,968,auto,no
8480017299468,almacen.fideos_secos_500g,FIDEOS FUSILES,DIA,0.5,kg,968,auto,no
8480017269577,almacen.fideos_secos_500g,FIDEOS MOSTACH TRIG0,DIA,0.5,kg,967,auto,no
8480017269591,almacen.fideos_secos_500g,FIDEOS CABELLO ANGEL,DIA,0.5,kg,967,auto,no
7790070336675,almacen.fideos_secos_500g,FIDEOS RINA ESPIN SPAGH 500G PAQ-500-GR.,RINA,0.0005,kg,840,auto,no
7790070320155,almacen.fideos_secos_500g,FIDEOS LUCCHETTI CABELLO DE ANGEL X500G PAQ-500-GR.,LUCCHETTI,0.0005,kg,821,auto,no
7790070320018,almacen.fideos_secos_500g,FIDEOS MATARAZZO AVE MARIA PAQ-500-GR.,MATARAZZO,0.5,kg,820,auto,no
7790070337085,almacen.fideos_secos_500g,FIDEOS LUCCHETTI TIRABUZ N34 HUEV X500G SOB-500-GR.,LUCCHETTI,0.0005,kg,797,auto,no
7790070318671,almacen.fideos_secos_500g,FIDEOS MATARAZZO PAQ-500-GR.,MATARAZZO,0.5,kg,779,auto,no
7790070336637,almacen.fideos_secos_500g,FIDEOS RINA RIGATTI CE 500G PAQ-500-GR.,RINA,0.0005,kg,763,auto,no
7790070336668,almacen.fideos_secos_500g,FIDEOS RINA MORRON SPAGH 500G PAQ-500-GR.,RINA,0.0005,kg,737,auto,no
7790070337108,almacen.fideos_secos_500g,FIDEOS LUCCHETTI SPAGHET N5HUEVO X500G SOB-500-GR.,LUCCHETTI,0.0005,kg,719,auto,no
7790070318312,almacen.fideos_secos_500g,"FIDEOS NIDOS FETTUCCINE, LUCCHETTI, 500 GR",LUCCHETTI,0.5,kg,712,auto,no
7790070318855,almacen.fideos_secos_500g,FIDEOS LUCCHETTI MUNICIONES PAQ-500-GR.,LUCCHETTI,0.5,kg,701,auto,no
7790070321435,almacen.fideos_secos_500g,"FIDEOS DEDALITOS, FAVORITA, 500 GR",FAVORITA,0.5,kg,646,auto,no
7790070336392,almacen.fideos_secos_500g,FIDEOS FORATTINI LUCCHETTI X 500 GRS,LUCCHETTI,1,un,645,auto,no
7790070336323,almacen.fideos_secos_500g,FIDEOS BUCATTINI MATARAZZO X 500 GRS,MATARAZZO,1,un,642,auto,no
7790070337009,almacen.fideos_secos_500g,FIDEOS LUCCHETTI TALLARIN HUEV N7 X500G SOB-500-GR.,LUCCHETTI,0.0005,kg,642,auto,no
8076800195057,almacen.fideos_secos_500g,FIDEOS SPAGHETTI BARILLA CAJA X 500 GRS,BARILLA,1,un,642,auto,no
7790070337092,almacen.fideos_secos_500g,FIDEOS LUCCHETTI MOSTAC N51 HUEVO X500G SOB-500-GR.,LUCCHETTI,0.0005,kg,628,auto,no
7790070320032,almacen.fideos_secos_500g,FIDEOS MATARAZZO MUNICION PAQ-500-GR.,MATARAZZO,0.5,kg,625,auto,no
7790070336224,almacen.fideos_secos_500g,FIDEOS S TACC MIX LEG TIRABUZON MATARAZZO X 500 GR,MATARAZZO,1,un,622,auto,no
7790070336460,almacen.fideos_secos_500g,FIDEOS TERRABUSI SPAGHETTI N3 X500G PAQ-500-GR.,TERRABUSI,0.0005,kg,556,auto,no
7790070320322,almacen.fideos_secos_500g,FIDEOS CODITOS RAYADOS FAVORITA X500 GRS,FAVORITA,1,un,548,auto,no
7790070335647,almacen.fideos_secos_500g,FIDEOS DON FELIPE TIRABUZÓN FORT X500G PAQ-500-GR.,DON FELIPE,0.0005,kg,547,auto,no
7730114100077,almacen.fideos_secos_500g,FIDEOS DE ARROZ BLUE PATNA MOST. P/CELIA PAQ-500-GR.,BLUE PATNA,0.0005,kg,508,auto,no
7790580145378,almacen.fideos_secos_500g,"FIDEOS TALLARIN, ARCOR, 500 GR",ARCOR,0.5,kg,506,auto,no
7792715070678,almacen.fideos_secos_500g,FIDEOS NIDO AL HUEVO N3 MONTE LIRIO X 500 GRS,MONTE LIRIO,1,un,469,auto,no
8076800195033,almacen.fideos_secos_500g,FIDEOS SPAGHUETTINI BARILLA CAJA X 500 GRS,BARILLA,1,un,441,auto,no
7730114100015,almacen.fideos_secos_500g,FIDEOS S TACC ARROZ SPAG BLUE PATNA X 500 GRS,BLUE PATNA,1,un,425,auto,no
7790070335678,almacen.fideos_secos_500g,FIDEOS TERRABUSI CODITOS X500G PAQ-500-GR.,TERRABUSI,0.0005,kg,413,auto,no
7790070336446,almacen.fideos_secos_500g,FIDEOS MOSTACHOLES RAYADOS TERRABUSI X 500 GRS,TERRABUSI,1,un,407,auto,no
7790580142360,almacen.fideos_secos_500g,"FIDEOS MOSTACHOL, ARCOR, 500 GR",ARCOR,0.5,kg,406,auto,no
8076802085738,almacen.fideos_secos_500g,FIDEOS PENNE RIGATE BARILLA CAJA X 500GRS,BARILLA,1,un,406,auto,no
7790070336071,almacen.fideos_secos_500g,FIDEOS TIRABUZON 3 VEGETALES TERRABUSI X 500 GRS,TERRABUSI,1,un,404,auto,no
8076802085981,almacen.fideos_secos_500g,FIDEOS FUSILLI CAJA BARILLA CAJA X 500 GRS,BARILLA,1,un,404,auto,no
7790580145385,almacen.fideos_secos_500g,"FIDEOS SPAGHETTI, ARCOR, 500 GR",ARCOR,0.5,kg,401,auto,no
7790427000020,almacen.fideos_secos_500g,FIDEOS CINTA NIDO N 2 AL HUEVO 308 BOLSA X 500 GRS,308,1,un,400,auto,no
7790070337207,almacen.fideos_secos_500g,"FIDEOS FETTUCCINI MORRON, DON VICENTE, 500 GR",DON VICENTE,0.5,kg,394,auto,no
